num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
5,256,0.001,50,SGD,5,0.2289259433746338,0.5577410505994149
5,256,0.001,50,RMSprop,5,0.040618784725666,0.9406893168186516
5,256,0.001,50,ADAM,5,0.0089727342128753,0.9851060806767018
5,256,0.001,100,SGD,5,0.0886221453547477,0.8366462262775176
5,256,0.001,100,RMSprop,5,0.0621884539723396,0.912307146799515
5,256,0.001,100,ADAM,5,0.0094816954806447,0.9846374922077858
5,256,0.0001,50,SGD,5,0.6267939209938049,-0.063097759878522
5,256,0.0001,50,RMSprop,5,0.0147935189306736,0.9804981104940612
5,256,0.0001,50,ADAM,5,0.0043016928248107,0.9928761933157044
5,256,0.0001,100,SGD,5,0.5926011204719543,0.0057338819088022
5,256,0.0001,100,RMSprop,5,0.0088326148688793,0.985372595752843
5,256,0.0001,100,ADAM,5,0.0042508891783654,0.9935024429135207
5,256,1e-05,50,SGD,5,0.6451650261878967,-0.1118087827742022
5,256,1e-05,50,RMSprop,5,0.0081242099404335,0.9886854983497408
5,256,1e-05,50,ADAM,5,0.0063565331511199,0.9908839925079328
5,256,1e-05,100,SGD,5,0.652234673500061,-0.1315976221223596
5,256,1e-05,100,RMSprop,5,0.0058503812178969,0.9915604499137504
5,256,1e-05,100,ADAM,5,0.0060089030303061,0.9913616681764892
5,512,0.01,50,SGD,5,0.0083958283066749,0.9883478456116092
5,512,0.01,50,RMSprop,5,0.4433445334434509,0.1627031153693519
5,512,0.01,50,ADAM,5,0.1323214024305343,0.7702215437835661
5,512,0.01,100,SGD,5,0.0089145982638001,0.9879691924498836
5,512,0.01,100,RMSprop,5,0.2135163098573684,0.5600321656446478
5,512,0.01,100,ADAM,5,0.0902398824691772,0.8455258222596728
5,512,0.001,50,SGD,5,0.2006179839372635,0.616534341991038
5,512,0.001,50,RMSprop,5,0.0414781235158443,0.930364339347292
5,512,0.001,50,ADAM,5,0.0162958558648824,0.9743490484282552
5,512,0.001,100,SGD,5,0.042509451508522,0.9132384482405612
5,512,0.001,100,RMSprop,5,0.0496731773018837,0.9239189993311973
